id,title,description,link,image_link,availability,price,brand,mpn,identifier_exists,condition,google_product_category,product_type
BSTI-07HN8/IK,"Кондиционер Ballu Tessey DC BSTI-07HN8/IK, 7000 BTU, до 20 м²","Настенная сплит-система Ballu, серия Tessey DC: 7 000 BTU, на площадь до 20 м², инверторный компрессор, класс энергоэффективности A++, мощность охлаждения 2,72 кВт, мощность обогрева 2,72 кВт, обогрев до −15 °C, шум внутреннего блока 20 дБ, Wi-Fi опционально — модуль докупается, очистка воздуха, производство — КНР, артикул BSTI-07HN8/IK. Инверторная сплит-система для дома и офиса: охлаждение, обогрев до −15 °C, осушение и вентиляция. Плавно держит температуру и экономит электроэнергию, есть самоочистка и УФ-обработка воздуха, управление со смартфона через Wi-Fi-модуль. Хладагент R32, гарантия 3 года.",https://tehnoholod369.kz/tproduct/830732628354-kondicioner-ballu-tessey-dc-bsti-07hn8-ik-7000-btu-do-20-m,https://cdn.jsdelivr.net/gh/tehnoholod369-glitch/tehnoholod-katalog@main/img/bytovye/ballu-bsti-07hn8-ik.jpg,in_stock,141990.00 KZT,Ballu,BSTI-07HN8/IK,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
BSTI-09HN8/IK,"Кондиционер Ballu Tessey DC BSTI-09HN8/IK, 9000 BTU, до 25 м²","Настенная сплит-система Ballu, серия Tessey DC: 9 000 BTU, на площадь до 25 м², инверторный компрессор, класс энергоэффективности A++, мощность охлаждения 3,19 кВт, мощность обогрева 3,19 кВт, обогрев до −15 °C, шум внутреннего блока 20 дБ, Wi-Fi опционально — модуль докупается, очистка воздуха, производство — КНР, артикул BSTI-09HN8/IK. Инверторная сплит-система для дома и офиса: охлаждение, обогрев до −15 °C, осушение и вентиляция. Плавно держит температуру и экономит электроэнергию, есть самоочистка и УФ-обработка воздуха, управление со смартфона через Wi-Fi-модуль. Хладагент R32, гарантия 3 года.",https://tehnoholod369.kz/tproduct/123568053164-kondicioner-ballu-tessey-dc-bsti-09hn8-ik-9000-btu-do-25-m,https://cdn.jsdelivr.net/gh/tehnoholod369-glitch/tehnoholod-katalog@main/img/bytovye/ballu-bsti-07hn8-ik.jpg,in_stock,158990.00 KZT,Ballu,BSTI-09HN8/IK,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
BSTI-12HN8/IK,"Кондиционер Ballu Tessey DC BSTI-12HN8/IK, 12000 BTU, до 35 м²","Настенная сплит-система Ballu, серия Tessey DC: 12 000 BTU, на площадь до 35 м², инверторный компрессор, класс энергоэффективности A++, мощность охлаждения 3,6 кВт, мощность обогрева 3,8 кВт, обогрев до −15 °C, шум внутреннего блока 21 дБ, Wi-Fi опционально — модуль докупается, очистка воздуха, производство — КНР, артикул BSTI-12HN8/IK. Инверторная сплит-система для дома и офиса: охлаждение, обогрев до −15 °C, осушение и вентиляция. Плавно держит температуру и экономит электроэнергию, есть самоочистка и УФ-обработка воздуха, управление со смартфона через Wi-Fi-модуль. Хладагент R32, гарантия 3 года.",https://tehnoholod369.kz/tproduct/576137632314-kondicioner-ballu-tessey-dc-bsti-12hn8-ik-12000-btu-do-35-m,https://cdn.jsdelivr.net/gh/tehnoholod369-glitch/tehnoholod-katalog@main/img/bytovye/ballu-bsti-07hn8-ik.jpg,in_stock,189990.00 KZT,Ballu,BSTI-12HN8/IK,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
BSTI-18HN8/IK,"Кондиционер Ballu Tessey DC BSTI-18HN8/IK, 18000 BTU, до 50 м²","Настенная сплит-система Ballu, серия Tessey DC: 18 000 BTU, на площадь до 50 м², инверторный компрессор, класс энергоэффективности A++, мощность охлаждения 5,3 кВт, мощность обогрева 5,36 кВт, обогрев до −15 °C, шум внутреннего блока 23 дБ, Wi-Fi опционально — модуль докупается, очистка воздуха, производство — КНР, артикул BSTI-18HN8/IK. Инверторная сплит-система для дома и офиса: охлаждение, обогрев до −15 °C, осушение и вентиляция. Плавно держит температуру и экономит электроэнергию, есть самоочистка и УФ-обработка воздуха, управление со смартфона через Wi-Fi-модуль. Хладагент R32, гарантия 3 года.",https://tehnoholod369.kz/tproduct/720631057224-kondicioner-ballu-tessey-dc-bsti-18hn8-ik-18000-btu-do-50-m,https://cdn.jsdelivr.net/gh/tehnoholod369-glitch/tehnoholod-katalog@main/img/bytovye/ballu-bsti-07hn8-ik.jpg,in_stock,295990.00 KZT,Ballu,BSTI-18HN8/IK,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
BSTI-24HN8/IK,"Кондиционер Ballu Tessey DC BSTI-24HN8/IK, 24000 BTU, до 65 м²","Настенная сплит-система Ballu, серия Tessey DC: 24 000 BTU, на площадь до 65 м², инверторный компрессор, класс энергоэффективности A++, мощность охлаждения 7,4 кВт, мощность обогрева 7,4 кВт, обогрев до −15 °C, шум внутреннего блока 25 дБ, Wi-Fi опционально — модуль докупается, очистка воздуха, производство — КНР, артикул BSTI-24HN8/IK. Инверторная сплит-система для дома и офиса: охлаждение, обогрев до −15 °C, осушение и вентиляция. Плавно держит температуру и экономит электроэнергию, есть самоочистка и УФ-обработка воздуха, управление со смартфона через Wi-Fi-модуль. Хладагент R32, гарантия 3 года.",https://tehnoholod369.kz/tproduct/897626999324-kondicioner-ballu-tessey-dc-bsti-24hn8-ik-24000-btu-do-65-m,https://cdn.jsdelivr.net/gh/tehnoholod369-glitch/tehnoholod-katalog@main/img/bytovye/ballu-bsti-07hn8-ik.jpg,in_stock,369990.00 KZT,Ballu,BSTI-24HN8/IK,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
BSO-07HN8/IK,"Кондиционер Ballu Olympio Pro BSO-07HN8/IK, 7000 BTU, до 20 м²","Настенная сплит-система Ballu, серия Olympio Pro: 7 000 BTU, на площадь до 20 м², компрессор On-Off, класс энергоэффективности A, мощность охлаждения 2,34 кВт, мощность обогрева 2,34 кВт, обогрев до −7 °C, шум внутреннего блока 23 дБ, без Wi-Fi, производство — КНР, артикул BSO-07HN8/IK. Классическая (не инверторная) сплит-система начального уровня — надёжное и доступное решение для охлаждения и обогрева. Тихий наружный блок, хладагент R32, класс энергоэффективности A.",https://tehnoholod369.kz/tproduct/726801290294-kondicioner-ballu-olympio-pro-bso-07hn8-ik-7000-btu-do-20-m,https://cdn.jsdelivr.net/gh/tehnoholod369-glitch/tehnoholod-katalog@main/img/bytovye/ballu-bso-07hn8-ik.jpg,in_stock,125990.00 KZT,Ballu,BSO-07HN8/IK,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
BSO-09HN8/IK,"Кондиционер Ballu Olympio Pro BSO-09HN8/IK, 9000 BTU, до 25 м²","Настенная сплит-система Ballu, серия Olympio Pro: 9 000 BTU, на площадь до 25 м², компрессор On-Off, класс энергоэффективности A, мощность охлаждения 2,64 кВт, мощность обогрева 2,78 кВт, обогрев до −7 °C, шум внутреннего блока 23 дБ, без Wi-Fi, производство — КНР, артикул BSO-09HN8/IK. Классическая (не инверторная) сплит-система начального уровня — надёжное и доступное решение для охлаждения и обогрева. Тихий наружный блок, хладагент R32, класс энергоэффективности A.",https://tehnoholod369.kz/tproduct/978844238624-kondicioner-ballu-olympio-pro-bso-09hn8-ik-9000-btu-do-25-m,https://cdn.jsdelivr.net/gh/tehnoholod369-glitch/tehnoholod-katalog@main/img/bytovye/ballu-bso-07hn8-ik.jpg,in_stock,140990.00 KZT,Ballu,BSO-09HN8/IK,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
BSO-12HN8/IK,"Кондиционер Ballu Olympio Pro BSO-12HN8/IK, 12000 BTU, до 35 м²","Настенная сплит-система Ballu, серия Olympio Pro: 12 000 BTU, на площадь до 35 м², компрессор On-Off, класс энергоэффективности A, мощность охлаждения 3,52 кВт, мощность обогрева 3,72 кВт, обогрев до −7 °C, шум внутреннего блока 26 дБ, без Wi-Fi, производство — КНР, артикул BSO-12HN8/IK. Классическая (не инверторная) сплит-система начального уровня — надёжное и доступное решение для охлаждения и обогрева. Тихий наружный блок, хладагент R32, класс энергоэффективности A.",https://tehnoholod369.kz/tproduct/468720878014-kondicioner-ballu-olympio-pro-bso-12hn8-ik-12000-btu-do-35-m,https://cdn.jsdelivr.net/gh/tehnoholod369-glitch/tehnoholod-katalog@main/img/bytovye/ballu-bso-07hn8-ik.jpg,in_stock,179990.00 KZT,Ballu,BSO-12HN8/IK,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
BSO-18HN8/IK,"Кондиционер Ballu Olympio Pro BSO-18HN8/IK, 18000 BTU, до 50 м²","Настенная сплит-система Ballu, серия Olympio Pro: 18 000 BTU, на площадь до 50 м², компрессор On-Off, класс энергоэффективности A, мощность охлаждения 5,28 кВт, мощность обогрева 5,57 кВт, обогрев до −7 °C, шум внутреннего блока 30 дБ, без Wi-Fi, производство — КНР, артикул BSO-18HN8/IK. Классическая (не инверторная) сплит-система начального уровня — надёжное и доступное решение для охлаждения и обогрева. Тихий наружный блок, хладагент R32, класс энергоэффективности A.",https://tehnoholod369.kz/tproduct/723073327394-kondicioner-ballu-olympio-pro-bso-18hn8-ik-18000-btu-do-50-m,https://cdn.jsdelivr.net/gh/tehnoholod369-glitch/tehnoholod-katalog@main/img/bytovye/ballu-bso-07hn8-ik.jpg,in_stock,285990.00 KZT,Ballu,BSO-18HN8/IK,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
BSO-24HN8/IK,"Кондиционер Ballu Olympio Pro BSO-24HN8/IK, 24000 BTU, до 65 м²","Настенная сплит-система Ballu, серия Olympio Pro: 24 000 BTU, на площадь до 65 м², компрессор On-Off, класс энергоэффективности A, мощность охлаждения 7,03 кВт, мощность обогрева 7,33 кВт, обогрев до −7 °C, шум внутреннего блока 33 дБ, без Wi-Fi, производство — КНР, артикул BSO-24HN8/IK. Классическая (не инверторная) сплит-система начального уровня — надёжное и доступное решение для охлаждения и обогрева. Тихий наружный блок, хладагент R32, класс энергоэффективности A.",https://tehnoholod369.kz/tproduct/540720253274-kondicioner-ballu-olympio-pro-bso-24hn8-ik-24000-btu-do-65-m,https://cdn.jsdelivr.net/gh/tehnoholod369-glitch/tehnoholod-katalog@main/img/bytovye/ballu-bso-07hn8-ik.jpg,out_of_stock,359990.00 KZT,Ballu,BSO-24HN8/IK,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
